,mpg,cyl,disp,hp,drat,wt,qsec,vs,am,gear,carb,fuel.consumption,car.weight,engine.size
1,21,6,160,110,3.9,2.62,16.46,0,1,4,4,11.19047619,2.62,160
2,21,6,160,110,3.9,2.875,17.02,0,1,4,4,11.19047619,2.875,160
3,22.8,4,108,93,3.85,2.32,18.61,1,1,4,1,10.30701754,2.32,108
4,21.4,6,258,110,3.08,3.215,19.44,1,0,3,1,10.98130841,3.215,258
5,18.7,8,360,175,3.15,3.44,17.02,0,0,3,2,12.56684492,3.44,360
6,18.1,6,225,105,2.76,3.46,20.22,1,0,3,1,12.98342541,3.46,225
7,14.3,8,360,245,3.21,3.57,15.84,0,0,3,4,16.43356643,3.57,360
8,24.4,4,146.7,62,3.69,3.19,20,1,0,4,2,9.631147541,3.19,146.7
9,22.8,4,140.8,95,3.92,3.15,22.9,1,0,4,2,10.30701754,3.15,140.8
10,19.2,6,167.6,123,3.92,3.44,18.3,1,0,4,4,12.23958333,3.44,167.6
11,17.8,6,167.6,123,3.92,3.44,18.9,1,0,4,4,13.20224719,3.44,167.6
12,16.4,8,275.8,180,3.07,4.07,17.4,0,0,3,3,14.32926829,4.07,275.8
13,17.3,8,275.8,180,3.07,3.73,17.6,0,0,3,3,13.58381503,3.73,275.8
14,15.2,8,275.8,180,3.07,3.78,18,0,0,3,3,15.46052632,3.78,275.8
15,10.4,8,472,205,2.93,5.25,17.98,0,0,3,4,22.59615385,5.25,472
16,10.4,8,460,215,3,5.424,17.82,0,0,3,4,22.59615385,5.424,460
17,14.7,8,440,230,3.23,5.345,17.42,0,0,3,4,15.98639456,5.345,440
18,32.4,4,78.7,66,4.08,2.2,19.47,1,1,4,1,7.25308642,2.2,78.7
19,30.4,4,75.7,52,4.93,1.615,18.52,1,1,4,2,7.730263158,1.615,75.7
20,33.9,4,71.1,65,4.22,1.835,19.9,1,1,4,1,6.932153392,1.835,71.1
21,21.5,4,120.1,97,3.7,2.465,20.01,1,0,3,1,10.93023256,2.465,120.1
22,15.5,8,318,150,2.76,3.52,16.87,0,0,3,2,15.16129032,3.52,318
23,15.2,8,304,150,3.15,3.435,17.3,0,0,3,2,15.46052632,3.435,304
24,13.3,8,350,245,3.73,3.84,15.41,0,0,3,4,17.66917293,3.84,350
25,19.2,8,400,175,3.08,3.845,17.05,0,0,3,2,12.23958333,3.845,400
26,27.3,4,79,66,4.08,1.935,18.9,1,1,4,1,8.608058608,1.935,79
27,26,4,120.3,91,4.43,2.14,16.7,0,1,5,2,9.038461538,2.14,120.3
28,30.4,4,95.1,113,3.77,1.513,16.9,1,1,5,2,7.730263158,1.513,95.1
29,15.8,8,351,264,4.22,3.17,14.5,0,1,5,4,14.87341772,3.17,351
30,19.7,6,145,175,3.62,2.77,15.5,0,1,5,6,11.92893401,2.77,145
31,15,8,301,335,3.54,3.57,14.6,0,1,5,8,15.66666667,3.57,301
32,21.4,4,121,109,4.11,2.78,18.6,1,1,4,2,10.98130841,2.78,121
